age,18-60,4.666666667,,,,,
Daily rate,110-1500,5.56,390,670,950,1230,1510
DistanceFromHome,Jan-30,04-Jan,,,,,
Monthly_rate,2000-27000,5,,,,,
Monthly_Income,1000-20000,4.75,,,,,
NumCompaniesWorked,0-9,,,,,,
PercentSalaryHike,Nov-25,,,,,,
TotalWorkingYears,0-40,,,,,,
YearsAtCompany,0-40,,,,,,
YearsInCurrentRole,0-18,,,,,,
YearsSinceLastPromotion,0-15,,,,,,
YearsWithCurrManager,0-17,,,,,,
TrainingTimesLastYear,0-6,,,,,,
JobInvolvement,,,,,,,
JobLevel,,,,,,,
JobSatisfaction,,,,,,,
EnvironmentSatisfaction,,,,,,,
StockOptionLevel,,,,,,,
WorkLifeBalance,,,,,,,
